event_index,timestamp_s,foot_index,foot_name,is_new_contact,body_x,body_y,body_z
117,10.097367525101,1,FR,0,-0.056164670736,-0.066899910569,-0.423462808132
117,10.097367525101,2,RL,0,-0.657791972160,0.158373728395,-0.397967129946
118,10.200569868088,1,FR,0,-0.121688976884,-0.047299653292,-0.420839846134
118,10.200569868088,2,RL,0,-0.731913506985,0.170104384422,-0.400196313858
119,10.255428791046,0,FL,1,0.160378754139,0.033205583692,-0.437153160572
119,10.255428791046,3,RR,1,-0.452844619751,-0.194114774466,-0.412186145782
120,10.361481666565,0,FL,0,0.081407368183,0.054181806743,-0.427135407925
120,10.361481666565,3,RR,0,-0.531638979912,-0.178727373481,-0.403677791357
121,10.465747833252,0,FL,0,0.016264431179,0.063014470041,-0.423003762960
121,10.465747833252,3,RR,0,-0.596920013428,-0.165622100234,-0.406219780445
122,10.569571256638,0,FL,0,-0.038557954133,0.068283267319,-0.424925714731
122,10.569571256638,3,RR,0,-0.651220977306,-0.160716533661,-0.408897161484
123,10.674967050552,0,FL,0,-0.114329129457,0.061662949622,-0.422264456749
123,10.674967050552,3,RR,0,-0.726109087467,-0.166190102696,-0.406990051270
124,10.744035482407,1,FR,1,0.154871582985,-0.044295355678,-0.437246173620
124,10.744035482407,2,RL,1,-0.452393412590,0.165626555681,-0.420107364655
125,10.858958244324,1,FR,0,0.078436940908,-0.063157223165,-0.427816390991
125,10.858958244324,2,RL,0,-0.526603043079,0.150405541062,-0.411851227283
126,10.966576576233,1,FR,0,0.008981825784,-0.066861689091,-0.419436991215
126,10.966576576233,2,RL,0,-0.598815500736,0.143226385117,-0.406466484070
127,11.073692321777,1,FR,0,-0.049793411046,-0.072730608284,-0.420081377029
127,11.073692321777,2,RL,0,-0.657917261124,0.136089280248,-0.408006429672
128,11.176614761353,1,FR,0,-0.129579976201,-0.065403871238,-0.414492905140
128,11.176614761353,2,RL,0,-0.739181280136,0.140458986163,-0.402207314968
129,11.218673944473,0,FL,1,0.163152918220,0.062416926026,-0.438678860664
129,11.218673944473,3,RR,1,-0.480118870735,-0.144161209464,-0.413114696741
130,11.324188947678,0,FL,0,0.087188854814,0.072987094522,-0.429967582226
130,11.324188947678,3,RR,0,-0.555203080177,-0.132131800056,-0.403819948435
131,11.436297655106,0,FL,0,0.014006745070,0.083954982460,-0.427149176598
131,11.436297655106,3,RR,0,-0.626549303532,-0.119969397783,-0.398527443409
132,11.541121006012,0,FL,0,-0.059015158564,0.089099779725,-0.429199516773
132,11.541121006012,3,RR,0,-0.698985874653,-0.117505311966,-0.395284205675
133,11.646097183228,0,FL,0,-0.138056471944,0.086307182908,-0.416776061058
133,11.646097183228,3,RR,0,-0.776530385017,-0.115896895528,-0.383398830891
134,11.705756902695,1,FR,1,0.170084834099,-0.088457547128,-0.447636604309
